Comment_Content,Comment_Evaluation,Product_Name,Product_Brand,Cleaned_Content,Sentiment_Label
Babam için almıştım aşırııı güzell,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,babam için almıştım aşırııı güzell,Pozitif
Dokusu çok güzel kalitesi çok iyi,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,dokusu çok güzel kalitesi çok iyi,Pozitif
renk ve kalite çok güzel AVVA sonuçta indirimde almıştım nişanlım severek kullanıyor,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,renk ve kalite çok güzel avva sonuçta indirimde almıştım nişanlım severek kullanıyor,Pozitif
Çok beğendim güzel,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,çok beğendim güzel,Pozitif
Güzel tişört,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,güzel tişört,Pozitif
Tesekkurler,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,tesekkurler,Pozitif
Ürün çok güzel,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,ürün çok güzel,Pozitif
daha kaliteli bir şey bekliyordum,3,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,daha kaliteli bir şey bekliyordum,Nötr
Ürün kaliteli,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,ürün kaliteli,Pozitif
gayet güzel bir ürün,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,gayet güzel bir ürün,Pozitif
Kaliteli beğndik,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,kaliteli beğndik,Pozitif
cok begendım,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,cok begendım,Pozitif
Gayet iyi ürün başarılı,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,gayet iyi ürün başarılı,Pozitif
çok kaliteli beğendim,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,çok kaliteli beğendim,Pozitif
"Çok güzel, kaliteli... Teşekkürler.",5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,çok güzel kaliteli teşekkürler,Pozitif
harika mükemmel tam isabet,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,harika mükemmel tam isabet,Pozitif
çok güzel tavsiye ederim,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,çok güzel tavsiye ederim,Pozitif
alın aldırın cokkk guzel avva herzamanki gibi kalitesini yansıtmıs😇,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,alın aldırın cokkk guzel avva herzamanki gibi kalitesini yansıtmıs,Pozitif
Güzel değil,2,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,güzel değil,Negatif
Ürün kalite olarak tartışılmaz kesinlikle kaliteli lakin o kadar geç kargolandı ki sipariş verdiğimi unuttum neredeyse,4,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,ürün kalite olarak tartışılmaz kesinlikle kaliteli lakin o kadar geç kargolandı ki sipariş verdiğimi unuttum neredeyse,Pozitif
Babama aldık gayet güzel,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,babama aldık gayet güzel,Pozitif
Avva kalitesi çok beğendim tereddüt etmeden alına bilecek bir ürün. Ayrıca çok hızlı geldi ürün kapıma çok teşekkürler..,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,avva kalitesi çok beğendim tereddüt etmeden alına bilecek bir ürün ayrıca çok hızlı geldi ürün kapıma çok teşekkürler,Pozitif
Eşime aldım çok kaliteli geldi çok beğendi eşim,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,eşime aldım çok kaliteli geldi çok beğendi eşim,Pozitif
Eşime aldım cok beğendi. Tavsiye edilir..,5,Erkek %100 Pamuk Koyu Vizon Polo Yaka Düz T-shirt E001004,Avva,eşime aldım cok beğendi tavsiye edilir,Pozitif
